station_id,mask,BulkDensity_rootzone_weightedMean_gcm3
410024,q_lt_q20,1352.65
410026,q_lt_q20,1456.95
410033,q_lt_q20,1363.8
410038,q_lt_q20,1429.5
410044,q_lt_q20,1478.7
410047,q_lt_q20,1508.25
410057,q_lt_q20,1412.45
410061,q_lt_q20,1370.05
410062,q_lt_q20,1360.35
410088,q_lt_q20,1276.9
410141,q_lt_q20,1362.25
410156,q_lt_q20,1477.65
410705,q_lt_q20,1390.3
410713,q_lt_q20,1385.4
410730,q_lt_q20,1231.45
410731,q_lt_q20,1346.75
410734,q_lt_q20,1345.95
410761,q_lt_q20,1372.1
411003,q_lt_q20,1370.2
10500000,q_lt_q20,1289.8
11400000,q_lt_q20,1126.95
12370000,q_lt_q20,1412.025
12500000,q_lt_q20,1421.25
12520000,q_lt_q20,1442.4
12700000,q_lt_q20,1363.6
13150000,q_lt_q20,
13470000,q_lt_q20,1445.5
13600002,q_lt_q20,1433.35
13710001,q_lt_q20,1386.2
13750000,q_lt_q20,1349.35
13870000,q_lt_q20,1343.25
13880000,q_lt_q20,
14100000,q_lt_q20,
14110000,q_lt_q20,1208.8
14230000,q_lt_q20,1372.75
14250000,q_lt_q20,
14280001,q_lt_q20,
14310000,q_lt_q20,1393.925
14330000,q_lt_q20,1350.9
14350000,q_lt_q20,1360.45
14440000,q_lt_q20,1386.05
14515000,q_lt_q20,
14526000,q_lt_q20,1476.7
14680001,q_lt_q20,1414.25
15130000,q_lt_q20,1436.95
15400000,q_lt_q20,
15700000,q_lt_q20,1413.25
15800000,q_lt_q20,1365.35
15910000,q_lt_q20,1427
15930000,q_lt_q20,1426.15
17050001,q_lt_q20,1378.6
17090000,q_lt_q20,1447.15
17200000,q_lt_q20,1416
17345000,q_lt_q20,1364.2
17350000,q_lt_q20,1365.95
18200000,q_lt_q20,1482.5
18850000,q_lt_q20,
19150000,q_lt_q20,1395.15
20200000,q_lt_q20,1430.5
20250000,q_lt_q20,1389.05
21500000,q_lt_q20,1435.9
21750000,q_lt_q20,1468.05
22050001,q_lt_q20,
22680000,q_lt_q20,1464.95
22700000,q_lt_q20,1474.85
22850000,q_lt_q20,1468.25
22900000,q_lt_q20,1453.1
23100000,q_lt_q20,
23150000,q_lt_q20,1459.4
23220000,q_lt_q20,1478.95
23230000,q_lt_q20,1479.1
23250000,q_lt_q20,1476.35
23300000,q_lt_q20,1473.6
23600000,q_lt_q20,
23700000,q_lt_q20,1401.05
23710000,q_lt_q20,
24050000,q_lt_q20,1446.6
24200000,q_lt_q20,1457.8
24500000,q_lt_q20,1468.2
24700000,q_lt_q20,1417.15
24750000,q_lt_q20,1464.85
24780000,q_lt_q20,1433.25
24800000,q_lt_q20,1430.9
24850000,q_lt_q20,
24900000,q_lt_q20,1424.65
24950000,q_lt_q20,1418.15
25100000,q_lt_q20,1410.95
25130000,q_lt_q20,1452.25
25200000,q_lt_q20,1340.45
25700000,q_lt_q20,1446.65
25950000,q_lt_q20,1450.9
26040000,q_lt_q20,1382.2
26050000,q_lt_q20,1442
26100000,q_lt_q20,1443.2
26200000,q_lt_q20,1316.5
26300000,q_lt_q20,
26350000,q_lt_q20,
26720000,q_lt_q20,1430.45
27500000,q_lt_q20,
27550000,q_lt_q20,1465.55
28150000,q_lt_q20,1456.45
28300000,q_lt_q20,1413.3
28850000,q_lt_q20,1402.65
29050000,q_lt_q20,1425.8
29100000,q_lt_q20,1383.65
30080000,q_lt_q20,1412.8
30400000,q_lt_q20,1432.4
31490000,q_lt_q20,1340
31520000,q_lt_q20,1438.25
31600000,q_lt_q20,1464.5
31680000,q_lt_q20,1400.2
31700000,q_lt_q20,1223.15
32400000,q_lt_q20,1454.55
32550000,q_lt_q20,1480
32620000,q_lt_q20,1358.25
32830000,q_lt_q20,1482.35
33025000,q_lt_q20,1465.95
33170000,q_lt_q20,1464.15
33190000,q_lt_q20,
33205000,q_lt_q20,1472.95
33215000,q_lt_q20,1456.7
33250000,q_lt_q20,1496.8
33260000,q_lt_q20,1479.35
33270000,q_lt_q20,1481.6
33281000,q_lt_q20,1517.3
33286000,q_lt_q20,1490.65
33290000,q_lt_q20,1487
33321000,q_lt_q20,1464.65
33330000,q_lt_q20,1487.85
33380000,q_lt_q20,1491.25
33450000,q_lt_q20,1470.15
33460000,q_lt_q20,1468.4
33480000,q_lt_q20,1461.8
33520000,q_lt_q20,1424.45
33530000,q_lt_q20,1473.75
33550000,q_lt_q20,1506.7
33620000,q_lt_q20,1487.4
33630000,q_lt_q20,1498.5
33680000,q_lt_q20,1489.15
33730000,q_lt_q20,1482.7
33760000,q_lt_q20,1361.85
33780000,q_lt_q20,1478.5
34020000,q_lt_q20,1469.2
34060000,q_lt_q20,1448.55
34070000,q_lt_q20,1462
34090000,q_lt_q20,1458.3
34130000,q_lt_q20,1508.8
34170000,q_lt_q20,1451.25
34251000,q_lt_q20,1500.9
34311000,q_lt_q20,
34571000,q_lt_q20,1523.6
34660000,q_lt_q20,1464.75
34690000,q_lt_q20,
34730000,q_lt_q20,1516.3
34750000,q_lt_q20,1439.95
34770000,q_lt_q20,1515.75
34789000,q_lt_q20,1468.3
34879500,q_lt_q20,1437.5
34930000,q_lt_q20,1524.1
34940000,q_lt_q20,1505.35
34980000,q_lt_q20,1489.95
35235000,q_lt_q20,1510
35240000,q_lt_q20,1524.75
35258000,q_lt_q20,1506.5
35260000,q_lt_q20,1546.95
35263000,q_lt_q20,1511.5
35740000,q_lt_q20,1448.2
35830000,q_lt_q20,1524.05
36020000,q_lt_q20,1524.1
36045000,q_lt_q20,1510.6
36125000,q_lt_q20,1457.2
36130000,q_lt_q20,1532.8
36160000,q_lt_q20,1530.35
36210000,q_lt_q20,1496.65
36250000,q_lt_q20,1493.6
36290000,q_lt_q20,1523.05
36320000,q_lt_q20,1520.65
36390000,q_lt_q20,1491.85
36580000,q_lt_q20,1531.7
37220000,q_lt_q20,1488.15
37380000,q_lt_q20,1514.7
37410000,q_lt_q20,1467.45
37470000,q_lt_q20,1543.5
37710150,q_lt_q20,1540.8
38790000,q_lt_q20,1482.85
38830000,q_lt_q20,1518.15
38860000,q_lt_q20,1521.85
39084010,q_lt_q20,1471.35
39140000,q_lt_q20,1469.85
39150000,q_lt_q20,1383.55
39170000,q_lt_q20,1420.8
39360000,q_lt_q20,1404.75
39480000,q_lt_q20,1437.3
39540000,q_lt_q20,1493.45
39560000,q_lt_q20,1366.05
39580000,q_lt_q20,1465.2
39760000,q_lt_q20,1482.2
39770000,q_lt_q20,1419.8
39870000,q_lt_q20,1424.85
40025000,q_lt_q20,1412.35
40037000,q_lt_q20,1419.25
40040000,q_lt_q20,1388.4
40050000,q_lt_q20,1353
40053000,q_lt_q20,1387.45
40060001,q_lt_q20,1396.45
40100000,q_lt_q20,1427.15
40150000,q_lt_q20,1394.85
40170000,q_lt_q20,1376.95
40185000,q_lt_q20,1392.15
40330000,q_lt_q20,1372.8
40500000,q_lt_q20,1430.55
40549998,q_lt_q20,1366.3
40579995,q_lt_q20,1363.4
40680000,q_lt_q20,1409.05
40710000,q_lt_q20,1399.85
40740000,q_lt_q20,1359.8
40800001,q_lt_q20,1386.05
40810350,q_lt_q20,1347.2
40810800,q_lt_q20,1388.25
40811100,q_lt_q20,1383.2
40822995,q_lt_q20,1394.65
40823500,q_lt_q20,1387.7
40850000,q_lt_q20,1404.5
40975000,q_lt_q20,1419.4
41050000,q_lt_q20,1417.15
41135000,q_lt_q20,1454.35
41199998,q_lt_q20,1361.1
41260000,q_lt_q20,1372.9
41300000,q_lt_q20,1389.75
41380000,q_lt_q20,1405.35
41410000,q_lt_q20,1423.25
41440005,q_lt_q20,1356.45
41539998,q_lt_q20,1372.3
41650002,q_lt_q20,1435.85
41685000,q_lt_q20,1426.55
41780002,q_lt_q20,1346.25
41818000,q_lt_q20,1431.95
41890000,q_lt_q20,1434.15
