station_id,mask,CoarseFragments
410024,q_lt_q20,17.95
410026,q_lt_q20,8.85
410033,q_lt_q20,16.05
410038,q_lt_q20,15.2
410044,q_lt_q20,10.8
410047,q_lt_q20,5.4
410057,q_lt_q20,14.95
410061,q_lt_q20,19.25
410062,q_lt_q20,7.8
410088,q_lt_q20,18.05
410141,q_lt_q20,10.9
410156,q_lt_q20,11.55
410705,q_lt_q20,9.05
410713,q_lt_q20,11.1
410730,q_lt_q20,22.25
410731,q_lt_q20,11.9
410734,q_lt_q20,18.35
410761,q_lt_q20,15.6
411003,q_lt_q20,9.5
10500000,q_lt_q20,0
11400000,q_lt_q20,2.3
12370000,q_lt_q20,7.35
12500000,q_lt_q20,1.3
12520000,q_lt_q20,0
12700000,q_lt_q20,4.25
13150000,q_lt_q20,
13470000,q_lt_q20,3.85
13600002,q_lt_q20,1.25
13710001,q_lt_q20,1
13750000,q_lt_q20,12.8
13870000,q_lt_q20,0
13880000,q_lt_q20,
14100000,q_lt_q20,
14110000,q_lt_q20,4.5
14230000,q_lt_q20,1.8
14250000,q_lt_q20,
14280001,q_lt_q20,
14310000,q_lt_q20,5.475
14330000,q_lt_q20,20.25
14350000,q_lt_q20,1.7
14440000,q_lt_q20,3.05
14515000,q_lt_q20,
14526000,q_lt_q20,4.55
14680001,q_lt_q20,7.15
15130000,q_lt_q20,0
15400000,q_lt_q20,
15700000,q_lt_q20,2
15800000,q_lt_q20,1.95
15910000,q_lt_q20,0.85
15930000,q_lt_q20,1.35
17050001,q_lt_q20,2.05
17090000,q_lt_q20,1.85
17200000,q_lt_q20,0.7
17345000,q_lt_q20,0.85
17350000,q_lt_q20,1.95
18200000,q_lt_q20,0
18850000,q_lt_q20,
19150000,q_lt_q20,2.85
20200000,q_lt_q20,1.15
20250000,q_lt_q20,0
21500000,q_lt_q20,1.05
21750000,q_lt_q20,2.2
22050001,q_lt_q20,
22680000,q_lt_q20,1.15
22700000,q_lt_q20,2.85
22850000,q_lt_q20,0.4
22900000,q_lt_q20,0.4
23100000,q_lt_q20,
23150000,q_lt_q20,0.7
23220000,q_lt_q20,1.45
23230000,q_lt_q20,0.4
23250000,q_lt_q20,1.85
23300000,q_lt_q20,2.15
23600000,q_lt_q20,
23700000,q_lt_q20,3.3
23710000,q_lt_q20,
24050000,q_lt_q20,1.55
24200000,q_lt_q20,3.55
24500000,q_lt_q20,2.3
24700000,q_lt_q20,4.25
24750000,q_lt_q20,1.3
24780000,q_lt_q20,2.2
24800000,q_lt_q20,1.7
24850000,q_lt_q20,
24900000,q_lt_q20,1.7
24950000,q_lt_q20,2.15
25100000,q_lt_q20,1.25
25130000,q_lt_q20,0
25200000,q_lt_q20,0
25700000,q_lt_q20,1.25
25950000,q_lt_q20,0
26040000,q_lt_q20,0.4
26050000,q_lt_q20,1.45
26100000,q_lt_q20,3.25
26200000,q_lt_q20,0
26300000,q_lt_q20,
26350000,q_lt_q20,
26720000,q_lt_q20,0
27500000,q_lt_q20,
27550000,q_lt_q20,0.05
28150000,q_lt_q20,0.85
28300000,q_lt_q20,1.25
28850000,q_lt_q20,2.95
29050000,q_lt_q20,0.4
29100000,q_lt_q20,0.95
30080000,q_lt_q20,3.7
30400000,q_lt_q20,4.25
31490000,q_lt_q20,1
31520000,q_lt_q20,0.85
31600000,q_lt_q20,0.85
31680000,q_lt_q20,3.85
31700000,q_lt_q20,7.7
32400000,q_lt_q20,0
32550000,q_lt_q20,0
32620000,q_lt_q20,0
32830000,q_lt_q20,0.85
33025000,q_lt_q20,1.35
33170000,q_lt_q20,0.9
33190000,q_lt_q20,
33205000,q_lt_q20,1.15
33215000,q_lt_q20,0.45
33250000,q_lt_q20,2.25
33260000,q_lt_q20,0.3
33270000,q_lt_q20,0.3
33281000,q_lt_q20,0.85
33286000,q_lt_q20,0
33290000,q_lt_q20,0
33321000,q_lt_q20,4.55
33330000,q_lt_q20,1
33380000,q_lt_q20,0
33450000,q_lt_q20,0.7
33460000,q_lt_q20,1.45
33480000,q_lt_q20,1.85
33520000,q_lt_q20,1.25
33530000,q_lt_q20,0.85
33550000,q_lt_q20,3.1
33620000,q_lt_q20,1.1
33630000,q_lt_q20,1.3
33680000,q_lt_q20,0
33730000,q_lt_q20,0
33760000,q_lt_q20,1.85
33780000,q_lt_q20,0
34020000,q_lt_q20,2.7
34060000,q_lt_q20,3.45
34070000,q_lt_q20,1.7
34090000,q_lt_q20,1.25
34130000,q_lt_q20,2.25
34170000,q_lt_q20,0.95
34251000,q_lt_q20,2.45
34311000,q_lt_q20,
34571000,q_lt_q20,0.85
34660000,q_lt_q20,0
34690000,q_lt_q20,
34730000,q_lt_q20,3
34750000,q_lt_q20,4.85
34770000,q_lt_q20,2.15
34789000,q_lt_q20,1.8
34879500,q_lt_q20,2.95
34930000,q_lt_q20,5.6
34940000,q_lt_q20,3.65
34980000,q_lt_q20,0.45
35235000,q_lt_q20,1.65
35240000,q_lt_q20,1.7
35258000,q_lt_q20,1.95
35260000,q_lt_q20,0
35263000,q_lt_q20,2.95
35740000,q_lt_q20,3.45
35830000,q_lt_q20,3.25
36020000,q_lt_q20,4.3
36045000,q_lt_q20,4.1
36125000,q_lt_q20,2.85
36130000,q_lt_q20,3.1
36160000,q_lt_q20,1.1
36210000,q_lt_q20,1.7
36250000,q_lt_q20,2.95
36290000,q_lt_q20,2.4
36320000,q_lt_q20,2.85
36390000,q_lt_q20,2
36580000,q_lt_q20,1.3
37220000,q_lt_q20,3.65
37380000,q_lt_q20,2
37410000,q_lt_q20,0.9
37470000,q_lt_q20,2.7
37710150,q_lt_q20,0.4
38790000,q_lt_q20,1.65
38830000,q_lt_q20,6.7
38860000,q_lt_q20,4.5
39084010,q_lt_q20,2.25
39140000,q_lt_q20,0.7
39150000,q_lt_q20,0.7
39170000,q_lt_q20,4.55
39360000,q_lt_q20,5.65
39480000,q_lt_q20,2.85
39540000,q_lt_q20,3.55
39560000,q_lt_q20,4.65
39580000,q_lt_q20,3
39760000,q_lt_q20,5.05
39770000,q_lt_q20,5.15
39870000,q_lt_q20,6.25
40025000,q_lt_q20,4.8
40037000,q_lt_q20,2.25
40040000,q_lt_q20,1.85
40050000,q_lt_q20,1.15
40053000,q_lt_q20,0.4
40060001,q_lt_q20,1.1
40100000,q_lt_q20,3.4
40150000,q_lt_q20,2.45
40170000,q_lt_q20,1.6
40185000,q_lt_q20,1.75
40330000,q_lt_q20,2.8
40500000,q_lt_q20,1.55
40549998,q_lt_q20,1.95
40579995,q_lt_q20,4.25
40680000,q_lt_q20,2.2
40710000,q_lt_q20,3.9
40740000,q_lt_q20,2.55
40800001,q_lt_q20,1.7
40810350,q_lt_q20,0.85
40810800,q_lt_q20,1.65
40811100,q_lt_q20,1.25
40822995,q_lt_q20,3.3
40823500,q_lt_q20,1.3
40850000,q_lt_q20,0.85
40975000,q_lt_q20,3.55
41050000,q_lt_q20,2.75
41135000,q_lt_q20,0
41199998,q_lt_q20,3.05
41260000,q_lt_q20,0.4
41300000,q_lt_q20,4.3
41380000,q_lt_q20,1.85
41410000,q_lt_q20,2.6
41440005,q_lt_q20,3.85
41539998,q_lt_q20,1.75
41650002,q_lt_q20,3.35
41685000,q_lt_q20,2.75
41780002,q_lt_q20,4.2
41818000,q_lt_q20,0.4
41890000,q_lt_q20,1.7
41990000,q_lt_q20,1.2
42089998,q_lt_q20,1.1
42100000,q_lt_q20,1.15
42187000,q_lt_q20,0.45
42210000,q_lt_q20,
42250000,q_lt_q20,1.55
42255000,q_lt_q20,2.25
42257000,q_lt_q20,0
42290000,q_lt_q20,0
42395000,q_lt_q20,0.7
42440000,q_lt_q20,4.7
42490000,q_lt_q20,1.5
42540000,q_lt_q20,0.85
42546000,q_lt_q20,0
42690001,q_lt_q20,
42750000,q_lt_q20,0
42840000,q_lt_q20,2.15
42930000,q_lt_q20,
43200000,q_lt_q20,
43300000,q_lt_q20,2.15
43670000,q_lt_q20,0.85
43675000,q_lt_q20,2.35
43880000,q_lt_q20,0
44200000,q_lt_q20,2.4
44250000,q_lt_q20,1.4
44290002,q_lt_q20,7.45
44500000,q_lt_q20,
44540000,q_lt_q20,1.45
44670000,q_lt_q20,0.4
45131000,q_lt_q20,0.85
45170001,q_lt_q20,2.7
45210000,q_lt_q20,1.85
45220000,q_lt_q20,2.1
45260000,q_lt_q20,0.7
45298000,q_lt_q20,
45480000,q_lt_q20,
45590000,q_lt_q20,4.7
45770000,q_lt_q20,1.55
45840000,q_lt_q20,3.45
45880000,q_lt_q20,1.55
45910001,q_lt_q20,3.15
45960001,q_lt_q20,2.25
