station_id,mask,DepthToBedrock_cm
410024,q_lt_q20,1670
410026,q_lt_q20,2305
410033,q_lt_q20,2612
410038,q_lt_q20,2134
410044,q_lt_q20,3226
410047,q_lt_q20,4261
410057,q_lt_q20,2297
410061,q_lt_q20,1312
410062,q_lt_q20,1657
410088,q_lt_q20,1515
410141,q_lt_q20,2028
410156,q_lt_q20,2629
410705,q_lt_q20,2069
410713,q_lt_q20,2641
410730,q_lt_q20,566
410731,q_lt_q20,1770
410734,q_lt_q20,1236
410761,q_lt_q20,1700
411003,q_lt_q20,2284
10500000,q_lt_q20,2007
11400000,q_lt_q20,2851
12370000,q_lt_q20,3739.5
12500000,q_lt_q20,3899
12520000,q_lt_q20,1884
12700000,q_lt_q20,3211
13150000,q_lt_q20,
13470000,q_lt_q20,5251
13600002,q_lt_q20,5966
13710001,q_lt_q20,3985
13750000,q_lt_q20,3592
13870000,q_lt_q20,5280
13880000,q_lt_q20,
14100000,q_lt_q20,
14110000,q_lt_q20,1946
14230000,q_lt_q20,1612
14250000,q_lt_q20,
14280001,q_lt_q20,
14310000,q_lt_q20,2067
14330000,q_lt_q20,755
14350000,q_lt_q20,2176
14440000,q_lt_q20,2418
14515000,q_lt_q20,
14526000,q_lt_q20,5571
14680001,q_lt_q20,1761
15130000,q_lt_q20,3289
15400000,q_lt_q20,
15700000,q_lt_q20,3009
15800000,q_lt_q20,1389
15910000,q_lt_q20,2260
15930000,q_lt_q20,3183
17050001,q_lt_q20,5541
17090000,q_lt_q20,2896
17200000,q_lt_q20,2389
17345000,q_lt_q20,2545
17350000,q_lt_q20,1855
18200000,q_lt_q20,3831
18850000,q_lt_q20,
19150000,q_lt_q20,3269
20200000,q_lt_q20,3479
20250000,q_lt_q20,1778
21500000,q_lt_q20,2652
21750000,q_lt_q20,3015
22050001,q_lt_q20,
22680000,q_lt_q20,3176
22700000,q_lt_q20,3244
22850000,q_lt_q20,2341
22900000,q_lt_q20,3298
23100000,q_lt_q20,
23150000,q_lt_q20,2624
23220000,q_lt_q20,3931
23230000,q_lt_q20,2331
23250000,q_lt_q20,4105
23300000,q_lt_q20,3913
23600000,q_lt_q20,
23700000,q_lt_q20,2029
23710000,q_lt_q20,
24050000,q_lt_q20,2059
24200000,q_lt_q20,2292
24500000,q_lt_q20,1994
24700000,q_lt_q20,3127
24750000,q_lt_q20,3225
24780000,q_lt_q20,3594
24800000,q_lt_q20,3759
24850000,q_lt_q20,
24900000,q_lt_q20,2480
24950000,q_lt_q20,2737
25100000,q_lt_q20,1446
25130000,q_lt_q20,2761
25200000,q_lt_q20,3604
25700000,q_lt_q20,3878
25950000,q_lt_q20,4378
26040000,q_lt_q20,2529
26050000,q_lt_q20,2620
26100000,q_lt_q20,2366
26200000,q_lt_q20,3198
26300000,q_lt_q20,
26350000,q_lt_q20,
26720000,q_lt_q20,2574
27500000,q_lt_q20,
27550000,q_lt_q20,2636
28150000,q_lt_q20,4201
28300000,q_lt_q20,3670
28850000,q_lt_q20,3046
29050000,q_lt_q20,3297
29100000,q_lt_q20,3249
30080000,q_lt_q20,3053
30400000,q_lt_q20,2930
31490000,q_lt_q20,6282
31520000,q_lt_q20,5119
31600000,q_lt_q20,8325
31680000,q_lt_q20,3336
31700000,q_lt_q20,4631
32400000,q_lt_q20,5785
