station_id,mask,Sand_rootzone,Silt_rootzone,Clay_root zone
410024,q_lt_q20,54.1,18.65,27.1
410026,q_lt_q20,51.55,19.9,28.55
410033,q_lt_q20,68.5,11.9,19.65
410038,q_lt_q20,56,16.05,27.7
410044,q_lt_q20,52.55,16.85,31.2
410047,q_lt_q20,53.85,13.85,31.9
410057,q_lt_q20,52,19.75,28.25
410061,q_lt_q20,52.05,22.5,25.55
410062,q_lt_q20,60.5,17.6,22
410088,q_lt_q20,55.1,19.2,25.85
410141,q_lt_q20,65.15,15.2,19.45
410156,q_lt_q20,52.45,17.3,30.4
410705,q_lt_q20,56.15,18.2,25.65
410713,q_lt_q20,55.8,19.85,24
410730,q_lt_q20,55.9,20.2,23.9
410731,q_lt_q20,60.8,16.05,23.15
410734,q_lt_q20,59.7,16.75,23.4
410761,q_lt_q20,60.9,17.6,21.4
411003,q_lt_q20,52.2,19.35,28.3
10500000,q_lt_q20,32.3,39.45,28.65
11400000,q_lt_q20,24.05,43.65,32.3
12370000,q_lt_q20,43.2,32.025,24.275
12500000,q_lt_q20,32.65,32.85,34.65
12520000,q_lt_q20,34.3,32.25,33.7
12700000,q_lt_q20,34.9,32.55,32.95
13150000,q_lt_q20,,,
13470000,q_lt_q20,52.15,21.9,25.95
13600002,q_lt_q20,48.25,22.2,29.65
13710001,q_lt_q20,29.7,35.2,35.15
13750000,q_lt_q20,33.1,31.8,34.75
13870000,q_lt_q20,32.3,35.95,32.15
13880000,q_lt_q20,,,
14100000,q_lt_q20,,,
14110000,q_lt_q20,41.5,31.55,27.05
14230000,q_lt_q20,51.85,24.85,23.85
14250000,q_lt_q20,,,
14280001,q_lt_q20,,,
14310000,q_lt_q20,43.9,32.525,23.975
14330000,q_lt_q20,44,36.65,19.2
14350000,q_lt_q20,48.2,22.95,28.9
14440000,q_lt_q20,46.9,20.4,32.6
14515000,q_lt_q20,,,
14526000,q_lt_q20,49.05,21.35,30
14680001,q_lt_q20,49.2,20.95,29.4
15130000,q_lt_q20,51.65,24.8,23.55
15400000,q_lt_q20,,,
15700000,q_lt_q20,28.5,39.6,31.6
15800000,q_lt_q20,29.4,30.25,40.15
15910000,q_lt_q20,36.8,25.7,37.25
15930000,q_lt_q20,43.4,17.65,38.65
17050001,q_lt_q20,46.7,23.55,29.8
17090000,q_lt_q20,49.2,23.2,27.45
17200000,q_lt_q20,60.3,11.15,28.15
17345000,q_lt_q20,56.9,13.35,29.45
17350000,q_lt_q20,42.5,23.2,34.7
18200000,q_lt_q20,44.45,25.25,30.35
18850000,q_lt_q20,,,
19150000,q_lt_q20,40.7,24.65,34.25
20200000,q_lt_q20,46.25,18.9,34.45
20250000,q_lt_q20,43.4,19.6,37.4
21500000,q_lt_q20,36.75,27.9,35.45
21750000,q_lt_q20,34.15,29.25,36.6
22050001,q_lt_q20,,,
22680000,q_lt_q20,63.65,15.7,20.7
22700000,q_lt_q20,59.15,17.35,23.7
22850000,q_lt_q20,56.95,19,24.45
22900000,q_lt_q20,62.55,14.65,22.95
23100000,q_lt_q20,,,
23150000,q_lt_q20,59.4,18.2,22.3
23220000,q_lt_q20,59.6,15.05,25.3
23230000,q_lt_q20,58.75,18.3,23.55
23250000,q_lt_q20,55.65,19.5,24.7
23300000,q_lt_q20,56.5,18.9,24.4
23600000,q_lt_q20,,,
23700000,q_lt_q20,44.05,27.2,29.45
23710000,q_lt_q20,,,
24050000,q_lt_q20,55.65,12.9,31.3
24200000,q_lt_q20,58.85,12.45,28.7
24500000,q_lt_q20,59.7,15.5,24.8
24700000,q_lt_q20,55.05,15,30
24750000,q_lt_q20,54,19.6,26.8
24780000,q_lt_q20,55.7,17.3,27
24800000,q_lt_q20,61.65,11.4,27
24850000,q_lt_q20,,,
24900000,q_lt_q20,49.75,15.9,34.35
24950000,q_lt_q20,54.05,14.6,31.35
25100000,q_lt_q20,53.3,16.35,30.35
25130000,q_lt_q20,56.5,14.6,28.85
25200000,q_lt_q20,53.9,15.2,30.9
25700000,q_lt_q20,60.35,15.6,24.05
25950000,q_lt_q20,50.15,19.45,30.1
26040000,q_lt_q20,43.5,18.65,37.85
26050000,q_lt_q20,55.25,15.85,28.75
26100000,q_lt_q20,55.25,15.05,30.05
26200000,q_lt_q20,55.55,17.15,27.3
26300000,q_lt_q20,,,
26350000,q_lt_q20,,,
26720000,q_lt_q20,60.7,14.2,25.35
27500000,q_lt_q20,,,
27550000,q_lt_q20,54.15,15.15,30.7
28150000,q_lt_q20,55.05,20.6,24.1
28300000,q_lt_q20,45.4,21.6,33
28850000,q_lt_q20,50.2,25.6,24.6
29050000,q_lt_q20,43.6,25.2,31.2
29100000,q_lt_q20,45.2,23.6,31.3
30080000,q_lt_q20,41.55,20.45,38
30400000,q_lt_q20,45.2,17.5,37
31490000,q_lt_q20,47.25,18.05,35.15
31520000,q_lt_q20,47.8,21.55,30.85
31600000,q_lt_q20,51.5,14.8,33.7
31680000,q_lt_q20,47.8,19.75,32.05
31700000,q_lt_q20,45,29.35,26.05
32400000,q_lt_q20,46.7,20.95,32.5
32550000,q_lt_q20,47.4,19.7,32.95
32620000,q_lt_q20,35.1,24.45,40.15
32830000,q_lt_q20,47.9,22.1,29.95
33025000,q_lt_q20,49.9,18.05,31.6
33170000,q_lt_q20,49.2,21.55,28.65
33190000,q_lt_q20,,,
33205000,q_lt_q20,52.05,16.7,31.4
33215000,q_lt_q20,55.15,13,31.7
33250000,q_lt_q20,56.1,18.75,25.15
33260000,q_lt_q20,49.1,20.3,30.6
33270000,q_lt_q20,56.55,18.9,24.8
33281000,q_lt_q20,55.55,21.6,23
33286000,q_lt_q20,40.75,28.25,30.5
33290000,q_lt_q20,47.1,24.35,28.65
33321000,q_lt_q20,53.15,15.45,31.4
33330000,q_lt_q20,54.6,18.05,27.5
33380000,q_lt_q20,45.15,26.05,28.95
33450000,q_lt_q20,63,14,23.1
33460000,q_lt_q20,61.85,13.3,24.8
33480000,q_lt_q20,58.15,17.3,24.85
33520000,q_lt_q20,61.75,14.2,24.05
33530000,q_lt_q20,52.4,21.45,25.85
33550000,q_lt_q20,55.55,21.3,23.15
33620000,q_lt_q20,50.15,25.5,24.4
33630000,q_lt_q20,53.65,21.75,24.2
33680000,q_lt_q20,43.85,27.05,29.1
33730000,q_lt_q20,52.55,23.85,23.8
33760000,q_lt_q20,51.6,23.75,24.2
33780000,q_lt_q20,50.4,25.25,24.3
34020000,q_lt_q20,57.4,18,24.7
34060000,q_lt_q20,56.35,19.6,24.35
34070000,q_lt_q20,56.05,17.9,25.6
34090000,q_lt_q20,59.4,14.3,26.3
34130000,q_lt_q20,61.15,18,21.55
34170000,q_lt_q20,49.25,21.2,29.65
34251000,q_lt_q20,59.25,17,23.9
34311000,q_lt_q20,,,
34571000,q_lt_q20,54.05,18.3,27.25
34660000,q_lt_q20,60.25,19.45,20.65
34690000,q_lt_q20,,,
34730000,q_lt_q20,63.75,21,15.8
34750000,q_lt_q20,58.3,17.15,24.55
34770000,q_lt_q20,56.85,19.05,23.7
34789000,q_lt_q20,52.35,19.65,27.9
34879500,q_lt_q20,44.65,26.8,28.15
34930000,q_lt_q20,54.35,20.65,24.9
34940000,q_lt_q20,56.1,21.05,23.15
34980000,q_lt_q20,57.25,19.05,23.55
35235000,q_lt_q20,60,20.5,19.8
35240000,q_lt_q20,57.2,19.85,22.9
35258000,q_lt_q20,59.35,18.6,22.15
35260000,q_lt_q20,60.45,19.05,20
35263000,q_lt_q20,51.25,22.05,26.8
35740000,q_lt_q20,55.85,18.45,25.7
35830000,q_lt_q20,57.15,19.6,23.25
36020000,q_lt_q20,57.2,19.7,23.55
36045000,q_lt_q20,53.35,19.45,27.15
36125000,q_lt_q20,49,19.65,31.05
36130000,q_lt_q20,57.55,17.3,24.7
36160000,q_lt_q20,57.8,20.2,22.25
36210000,q_lt_q20,51.55,18,30.45
36250000,q_lt_q20,49.6,21,29
36290000,q_lt_q20,58.8,19.3,21.3
36320000,q_lt_q20,54.15,23.2,22
36390000,q_lt_q20,52.4,21.9,25.7
36580000,q_lt_q20,60.25,18,21.6
37220000,q_lt_q20,52.9,19.8,26.85
37380000,q_lt_q20,54.85,23.6,22
37410000,q_lt_q20,51.35,23.45,25.15
37470000,q_lt_q20,63.65,20.05,16.6
37710150,q_lt_q20,55.75,20.3,23.7
38790000,q_lt_q20,64.15,10.75,25.05
38830000,q_lt_q20,51.7,23.55,24.9
38860000,q_lt_q20,56.2,19.75,24
39084010,q_lt_q20,59.25,15.05,25.3
39140000,q_lt_q20,55.75,18.5,26.25
39150000,q_lt_q20,61.2,13.3,25.5
39170000,q_lt_q20,57.95,17.3,24.55
39360000,q_lt_q20,49.7,16.6,34.25
39480000,q_lt_q20,50.25,18.3,31.3
39540000,q_lt_q20,55,17.6,27.05
39560000,q_lt_q20,51.25,19.65,29.2
39580000,q_lt_q20,51.3,20.35,27.95
39760000,q_lt_q20,53.55,18.35,28.45
39770000,q_lt_q20,52.3,18.75,28.95
39870000,q_lt_q20,52.2,16.8,30.7
40025000,q_lt_q20,42.85,20.75,36.8
40037000,q_lt_q20,39.8,19.2,41.45
40040000,q_lt_q20,43.5,14.2,42.35
40050000,q_lt_q20,33.05,21.8,45.15
40053000,q_lt_q20,38.1,17.35,44.3
40060001,q_lt_q20,39.35,20.5,40.15
40100000,q_lt_q20,48.05,19,32.95
40150000,q_lt_q20,42.3,17.35,40.35
40170000,q_lt_q20,37.45,16.5,45.95
