time,St1,St2,St3,St4,St5,St6
1/1/2004,0.10695,0.4743,0.10695,0.4743,0.10695,0.4743
1/2/2004,0.11718,0.4743,0.11718,0.4743,0.11718,0.4743
1/3/2004,0.19251,0.4743,0.19251,0.4743,0.19251,0.4743
1/4/2004,0.09951,0.4743,0.09951,0.4743,0.09951,0.4743
1/5/2004,0.13578,0.4743,0.13578,0.4743,0.13578,0.4743
1/6/2004,0.11904,0.44733,0.11904,0.44733,0.11904,0.44733
1/7/2004,0.0651,0.44733,0.0651,0.44733,0.0651,0.44733
1/8/2004,0.12648,0.44733,0.12648,0.44733,0.12648,0.44733
1/9/2004,0.36549,0.44733,0.36549,0.44733,0.36549,0.44733
1/10/2004,0.27156,0.44733,0.27156,0.44733,0.27156,0.44733
1/11/2004,14.01231,0.42129,14.01231,0.42129,14.01231,0.42129
1/12/2004,2.14179,0.44733,2.14179,0.44733,2.14179,0.44733
1/13/2004,0.75144,0.42129,0.75144,0.42129,0.75144,0.42129
1/14/2004,0.46128,0.44733,0.46128,0.44733,0.46128,0.44733
1/15/2004,0.3069,0.50034,0.3069,0.50034,0.3069,0.50034
1/16/2004,0.21018,0.50034,0.21018,0.50034,0.21018,0.50034
1/17/2004,0.1674,0.4743,0.1674,0.4743,0.1674,0.4743
1/18/2004,0.1209,0.44733,0.1209,0.44733,0.1209,0.44733
1/19/2004,0.09579,0.44733,0.09579,0.44733,0.09579,0.44733
1/20/2004,0.14415,0.42129,0.14415,0.42129,0.14415,0.42129
1/21/2004,0.27156,0.42129,0.27156,0.42129,0.27156,0.42129
1/22/2004,0.82677,0.42129,0.82677,0.42129,0.82677,0.42129
1/23/2004,0.63333,0.42129,0.63333,0.42129,0.63333,0.42129
1/24/2004,0.64356,0.42129,0.64356,0.42129,0.64356,0.42129
1/25/2004,0.85839,0.44733,0.85839,0.44733,0.85839,0.44733
1/26/2004,0.44733,0.4743,0.44733,0.4743,0.44733,0.4743
1/27/2004,0.51987,0.4743,0.51987,0.4743,0.51987,0.4743
1/28/2004,0.47802,0.44733,0.47802,0.44733,0.47802,0.44733
1/29/2004,0.22134,0.42129,0.22134,0.42129,0.22134,0.42129
